ID,label
0,6
1,4
2,6
3,1
4,8
5,2
6,2
7,8
8,8
9,7
10,2
11,6
12,2
13,0
14,3
15,8
16,0
17,3
18,5
19,5
20,8
21,8
22,9
23,1
24,3
25,0
26,1
27,2
28,2
29,9
30,3
31,3
32,7
33,5
34,3
35,1
36,3
37,4
38,0
39,4
40,9
41,5
42,4
43,6
44,6
45,8
46,5
47,7
48,7
49,1
50,9
51,3
52,9
53,0
54,6
55,6
56,0
57,9
58,7
59,4
60,5
61,8
62,8
63,6
64,8
65,3
66,4
67,4
68,8
69,3
70,2
71,5
72,3
73,6
74,4
75,4
76,7
77,8
78,5
79,8
80,3
81,9
82,4
83,0
84,0
85,0
86,8
87,4
88,7
89,6
90,0
91,8
92,9
93,4
94,9
95,5
96,8
97,2
98,3
99,3
100,9
101,2
102,5
103,3
104,8
105,4
106,9
107,7
108,8
109,1
110,7
111,9
112,0
113,6
114,0
115,1
116,6
117,9
118,5
119,8
120,8
121,3
122,4
123,0
124,9
125,5
126,8
127,7
128,8
129,7
130,7
131,2
132,2
133,8
134,9
135,2
136,4
137,8
138,5
139,6
140,8
141,9
142,9
143,9
144,7
145,4
146,0
147,5
148,7
149,8
150,7
151,1
152,2
153,7
154,4
155,6
156,3
157,2
158,8
159,0
160,4
161,2
162,6
163,6
164,9
165,4
166,5
167,4
168,0
169,0
170,4
171,7
172,7
173,7
174,5
175,6
176,2
177,5
178,0
179,1
180,3
181,6
182,5
183,3
184,0
185,5
186,4
187,7
188,9
189,3
190,9
191,3
192,5
193,7
194,0
195,5
196,2
197,2
198,2
199,4
200,9
201,8
202,0
203,7
204,3
205,1
206,9
207,7
208,6
209,1
210,5
211,1
212,7
213,2
214,6
215,4
216,4
217,6
218,1
219,9
220,3
221,0
222,4
223,4
224,7
225,8
226,4
227,5
228,1
229,6
230,8
231,4
232,7
233,5
234,9
235,7
236,6
237,8
238,1
239,3
240,2
241,4
242,4
243,2
244,8
245,7
246,4
247,4
248,4
249,5
250,6
251,6
252,0
253,1
254,4
255,3
256,0
257,4
258,6
259,7
260,1
261,0
262,7
263,3
264,9
265,5
266,6
267,5
268,5
269,7
270,1
271,8
272,1
273,0
274,9
275,8
276,5
277,7
278,3
279,5
280,2
281,9
282,4
283,3
284,1
285,4
286,4
287,0
288,2
289,9
290,6
291,0
292,3
293,7
294,5
295,9
296,0
297,9
298,9
299,8
300,8
301,2
302,4
303,6
304,0
305,8
306,7
307,7
308,4
309,3
310,6
311,5
312,5
313,5
314,4
315,6
316,2
317,6
318,5
319,7
320,9
321,2
322,7
323,7
324,6
325,1
326,3
327,5
328,9
329,5
330,1
331,4
332,2
333,4
334,8
335,6
336,1
337,6
338,7
339,8
340,0
341,5
342,7
343,6
344,3
345,9
346,3
347,3
348,0
349,6
350,8
351,4
352,3
353,4
354,1
355,3
356,1
357,7
358,8
359,0
360,1
361,8
362,3
363,9
364,7
365,4
366,6
367,1
368,0
369,2
370,3
371,3
372,4
373,9
374,5
375,3
376,6
377,0
378,0
379,8
380,8
381,0
382,7
383,8
384,6
385,5
386,8
387,6
388,2
389,5
390,4
391,1
392,3
393,4
394,2
395,5
396,5
397,2
398,6
399,2
400,2
401,5
402,2
403,9
404,4
405,9
406,8
407,9
408,1
409,5
410,0
411,8
412,4
413,1
414,8
415,2
416,2
417,6
418,8
419,9
420,2
421,7
422,4
423,1
424,7
425,3
426,4
427,1
428,4
429,0
430,7
431,3
432,0
433,8
434,8
435,2
436,2
437,5
438,4
439,3
440,7
441,4
442,0
443,9
444,6
445,2
